Name            Location        Type    Namespace       Source  Reference Count Offcut Ref Count
gl_hclip        00009f60        Data Label      Global  User Defined    1       0
contrl          00009f62
old_bcode       00009F80
rul             00009fa8
gl_wchar        00009fb6        Data Label      Global  User Defined    10      0
gl_hschar       00009fc6        Data Label      Global  User Defined    2       0
ad_intin        00009fc8        Data Label      Global  User Defined    2       0
gl_mode         00009fcc        Data Label      Global  User Defined    3       0
gl_rcenter      00009fe2        Data Label      Global  User Defined    1       0
gl_moff         00009fea
gl_ws           0000a010        Data Label      Global  User Defined    3       6
gl_lcolor       0000a082        Data Label      Global  User Defined    3       0
gl_graphic      0000a088
gl_ncols        0000a08e        Data Label      Global  User Defined    2       0
gl_mask         0000a092        Data Label      Global  User Defined    1       0
DOS_AX          0000a094        Data Label      Global  User Defined    12      0
gl_ticktime     0000a096        Data Label      Global  User Defined    2       0
old_mcode       0000a09a
gl_mlen         0000a09e
ad_envrn        0000a0a2        Data Label      Global  User Defined    1       0
gl_newdesk      0000a0c0
w_walkflag      0000a0be

os_entry        00fc0000        Data Label      Global  User Defined    2       6
main            00fc0020        Function        Global  User Defined    8       0
nodiag          00fc003c        Instruction Label       main    User Defined    2       0
memcret         00fc0044        Instruction Label       Global  User Defined    1       0
resetvec        00fc0050        Function        Global  User Defined    2       0
noreset         00fc0074        Function        Global  User Defined    3       0
ret_1b          00fc009e        Function        Global  User Defined    1       0
notpal          00fc00a6        Instruction Label       Global  User Defined    1       0
initpal         00fc00b4        Instruction Label       Global  User Defined    1       0
memcret2        00fc00dc        Function        Global  User Defined    1       0
chkpatloop      00fc00f6        Instruction Label       Global  User Defined    1       0
chkmemloop      00fc010c        Instruction Label       Global  User Defined    1       0
chkmem3         00fc011a        Instruction Label       Global  User Defined    1       0
chkmem4         00fc0128        Instruction Label       Global  User Defined    1       0
chkmem5         00fc0136        Instruction Label       Global  User Defined    1       0
chkmem6         00fc013a        Instruction Label       Global  User Defined    1       0
chkmem7         00fc013c        Instruction Label       Global  User Defined    2       0
next_zone       00fc0166        Instruction Label       Global  User Defined    1       0
store_mem       00fc016c        Instruction Label       Global  User Defined    1       0
check_mem       00fc0178        Instruction Label       Global  User Defined    1       0
st_ramsize_done 00fc0188        Instruction Label       Global  User Defined    2       0
clrmem          00fc01a0        Instruction Label       Global  User Defined    1       0
nomemchk        00fc01c2        Instruction Label       Global  User Defined    1       0
