Name            Location        Type         Namespace  Source
ml_mnhold       00006c4a        Data Label      Global  User Defined
ml_ctrl         00006c4e        Data Label      Global  User Defined
ml_pmown        00006c56        Data Label      Global  User Defined
ml_pkown        00006c5a        Data Label      Global  User Defined
pblock          00006c5e        Data Label      Global  User Defined
drwaddr         00006c72        Data Label      Global  User Defined
tikaddr         00006c76        Data Label      Global  User Defined
gstksave        00006c7a        Data Label      Global  User Defined
tstksave        00006c7e        Data Label      Global  User Defined
tiksav          00006c82        Data Label      Global  User Defined
NUM_TICK        00006c86        Data Label      Global  User Defined
CMP_TICK        00006c8a        Data Label      Global  User Defined
gstack          00006c8e        Data Label      Global  User Defined
tstack          00006cee        Data Label      Global  User Defined
x6d4e           00006d4e        Data Label      Global  User Defined
x6d52           00006d52        Data Label      Global  User Defined
trp13aret       00006d58        Data Label      Global  User Defined
trp14aret       00006d5c        Data Label      Global  User Defined
gl_xclip        00006d60        Data Label      Global  User Defined
gl_wclip        00006d62        Data Label      Global  User Defined
intin           00006d64        Data Label      Global  User Defined
pglobal         00006e64        Data Label      Global  User Defined
gl_ctwait       00006e82        Data Label      Global  User Defined
gl_mkrect       00006e8c        Data Label      Global  User Defined
gl_rbuf         00006e98        Data Label      Global  User Defined
sh_dodef        00006e9c        Data Label      Global  User Defined
sh_isgem        00006e9e        Data Label      Global  User Defined
gl_awind        00006ea0        Data Label      Global  User Defined
cart_dta        00006ea4        Data Label      Global  User Defined
x6ea8           00006ea8        Data Label      Global  User Defined
gl_hbox         00006eac        Data Label      Global  User Defined
gl_yclip        00006eae        Data Label      Global  User Defined
intout          00006eb0        Data Label      Global  User Defined
gl_tcolor       00006ec4        Data Label      Global  User Defined
gl_rmenu        00006ec6        Data Label      Global  User Defined
sys_adacc       00006ece        Data Label      Global  User Defined
gl_rlen         00006ed2        Data Label      Global  User Defined
ad_fstree       00006ed4        Data Label      Global  User Defined
pr_mclick       00006ed8        Data Label      Global  User Defined
gl_mnpid        00006eda        Data Label      Global  User Defined
W_TREE          00006ede        Data Label      Global  User Defined
gl_wschar       00006f9e        Data Label      Global  User Defined
elinkoff        00006fa0        Data Label      Global  User Defined
cda             00006fa4        Data Label      Global  User Defined
rs_global       00006fa8        Data Label      Global  User Defined
ad_sysglo       00006fac        Data Label      Global  User Defined
gl_width        00006fb0        Data Label      Global  User Defined
gl_font         00006fb2        Data Label      Global  User Defined
infpath         00006fb4        Data Label      Global  User Defined
gl_cowner       0000702e        Data Label      Global  User Defined
sh_doexec       00007032        Data Label      Global  User Defined
x7034           00007034        Data Label      Global  User Defined
gl_patt         00007036        Data Label      Global  User Defined
gl_rscreen      00007038        Data Label      Global  User Defined
gl_rfull        00007040        Data Label      Global  User Defined
appl_msg        00007048        Data Label      Global  User Defined
ptsin           00007058        Data Label      Global  User Defined
DOS_ERR         00007080        Data Label      Global  User Defined
W_ACTIVE        00007082        Data Label      Global  User Defined
gl_newroot      0000724a        Data Label      Global  User Defined
cart_ptr        0000724c        Data Label      Global  User Defined
ptsout          00007250        Data Label      Global  User Defined
gl_btrue        00007264        Data Label      Global  User Defined
gl_hptschar     00007266        Data Label      Global  User Defined
gl_hsptschar    00007268        Data Label      Global  User Defined
gl_wbox         0000726a        Data Label      Global  User Defined
gl_kowner       0000726c        Data Label      Global  User Defined
INTER_WSPACE    00007270        Data Label      Global  User Defined
wind_msg        00007272        Data Label      Global  User Defined
gl_fis          00007282        Data Label      Global  User Defined
wind_spb        00007284        Data Label      Global  User Defined
mclick          0000728e        Data Label      Global  User Defined
gl_mowner       00007290        Data Label      Global  User Defined
gl_tmp1         00007294        Data Label      Global  User Defined
gl_mntree       000072bc        Data Label      Global  User Defined
sh_gem          000072c0        Data Label      Global  User Defined
gl_wtree        000072c2        Data Label      Global  User Defined
gl_rzero        000072c6        Data Label      Global  User Defined
infdrv          000072ce        Data Label      Global  User Defined
ctl_pd          000072d0        Data Label      Global  User Defined
ctrl            000072d4        Data Label      Global  User Defined
gl_tmp2         000072dc        Data Label      Global  User Defined
gl_dta          00007304        Data Label      Global  User Defined
gl_nrows        00007336        Data Label      Global  User Defined
ajunk           00007338        Data Label      Global  User Defined
gl_src          0000733c        Data Label      Global  User Defined
INTER_HSPACE    00007350        Data Label      Global  User Defined
gl_dabase       00007352        Data Label      Global  User Defined
havedesk        00007354        Data Label      Global  User Defined
gl_adacc        00007356        Data Label      Global  User Defined
gl_wtop         0000736e        Data Label      Global  User Defined
gl_dst          00007370        Data Label      Global  User Defined
fph             00007384        Data Label      Global  User Defined
gl_rfs          00007386        Data Label      Global  User Defined
x738e           0000738e        Data Label      Global  User Defined
gl_wptschar     00007390        Data Label      Global  User Defined
gl_wsptschar    00007392        Data Label      Global  User Defined
xrat            00007394        Data Label      Global  User Defined
yrat            00007396        Data Label      Global  User Defined
pr_button       00007398        Data Label      Global  User Defined
pr_xrat         0000739a        Data Label      Global  User Defined
havefmt         0000739c        Data Label      Global  User Defined
drl             0000739e        Data Label      Global  User Defined
dlr             000073a2        Data Label      Global  User Defined
pr_yrat         000073a6        Data Label      Global  User Defined
edblk           000073a8        Data Label      Global  User Defined
rs_hdr          000073c4        Data Label      Global  User Defined
havegem         000073c8        Data Label      Global  User Defined
xforkq          000073ca        Data Label      Global  User Defined
gl_tmp          000073cc        Data Label      Global  User Defined
D               000073e0        Data Label      Global  User Defined
gl_hchar        00009dfa        Data Label      Global  User Defined
x9dfc           00009dfc        Data Label      Global  User Defined
eul             00009dfe        Data Label      Global  User Defined
indisp          00009e02        Data Label      Global  User Defined
curpid          00009e04        Data Label      Global  User Defined
gl_naccs        00009e06        Data Label      Global  User Defined
gl_dacnt        00009e08        Data Label      Global  User Defined
gl_dabox        00009e0a        Data Label      Global  User Defined
desk_global     00009e0c        Data Label      Global  User Defined
thedesk         00009e2a        Data Label      Global  User Defined
ad_hgmice       00009e2e        Data Label      Global  User Defined
infork          00009e32        Data Label      Global  User Defined
fpt             00009e34        Data Label      Global  User Defined
gl_pacc         00009e36        Data Label      Global  User Defined
gl_bdelay       00009e4e        Data Label      Global  User Defined
gl_fakemsg      00009e50        Data Label      Global  User Defined
desk_acc        00009e52        Data Label      Global  User Defined
fmt_global      00009e6e        Data Label      Global  User Defined
gem_global      00009e8c        Data Label      Global  User Defined
nrl             00009eaa        Data Label      Global  User Defined
kstate          00009eae        Data Label      Global  User Defined
gl_bclick       00009eb0        Data Label      Global  User Defined
ad_select       00009eb2        Data Label      Global  User Defined
bi              00009eb6        Data Label      Global  User Defined
ib              00009ec4        Data Label      Global  User Defined
ad_armice       00009ee6        Data Label      Global  User Defined
gl_handle       00009eea        Data Label      Global  User Defined
gl_dclick       00009eec        Data Label      Global  User Defined
